South Creek|46.9994|-122.3921|US|Washington|2500
Roslyn|47.2507|-121.0989|US|Washington|947
Sprague|47.3048|-117.9713|US|Washington|441
Gig Harbor|47.3352|-122.5968|US|Washington|9507
Lake Cassidy|48.0639|-122.092|US|Washington|3591
Tenino|46.8537|-122.8607|US|Washington|1830
Jamestown|48.1229|-123.0911|US|Washington|289
Three Lakes|47.942|-121.9924|US|Washington|3390
Curlew Lake|48.7311|-118.6663|US|Washington|573
Chain Lake|47.9038|-121.9861|US|Washington|4280
Pateros|48.0536|-119.8994|US|Washington|701
Rosburg|46.3076|-123.6344|US|Washington|385
Parkland|47.1417|-122.4376|US|Washington|37019
Birch Bay|48.923|-122.7543|US|Washington|8642
Ashford|46.7537|-122.0113|US|Washington|162
Navy Yard City|47.5508|-122.6655|US|Washington|3154
Omak|48.4228|-119.5159|US|Washington|8130
Farmington|47.0887|-117.0464|US|Washington|154
Buckley|47.1615|-122.02|US|Washington|4819
Cathcart|47.8525|-122.1058|US|Washington|2506
Poulsbo|47.7417|-122.6408|US|Washington|10670
Anacortes|48.4878|-122.6292|US|Washington|17955
Maplewood|47.3715|-122.5689|US|Washington|5340
Creston|47.7595|-118.52|US|Washington|226
Rockford|47.4513|-117.1307|US|Washington|477
Wishram|45.6599|-120.9698|US|Washington|438
Centralia|46.7225|-122.9695|US|Washington|41643
South Hill|47.1203|-122.2848|US|Washington|56379
Longview Heights|46.1796|-122.9577|US|Washington|3678
Erlands Point-Kitsap Lake|47.5973|-122.7021|US|Washington|2973
Amboy|45.9122|-122.4795|US|Washington|2027
St. John|47.0915|-117.5887|US|Washington|561
Dallesport|45.6316|-121.1749|US|Washington|1739
Ketron Island|47.1569|-122.6343|US|Washington|0
Mesa|46.5737|-119.0013|US|Washington|503
Fife|47.2328|-122.3518|US|Washington|10154
Moses Lake North|47.1949|-119.3186|US|Washington|3787
Chewelah|48.2929|-117.7336|US|Washington|2637
Grayland|46.8304|-124.0898|US|Washington|756
Kittitas|46.9837|-120.4191|US|Washington|1491
Camano|48.1865|-122.4708|US|Washington|15989
Monroe North|47.883|-121.9882|US|Washington|1704
North Bonneville|45.6425|-121.9689|US|Washington|999
Klickitat|45.818|-121.1626|US|Washington|358
Loon Lake|48.0685|-117.6298|US|Washington|784
