101|Samsung J7|Mobile|Samsung smart phone|7000
102|Realme J10|Mobile|Redmi smart phone|9000
201|Acer T43|Laptop|Acer gaming laptop|41000
202|Dell 300|Laptop|Dell Vostro laptop|71000
301|Samsung Tab 10|Tablet|Samsung multimedia Tablet PC|21000
302|Levono Tab 4D|Tablet|Lenovo Tablet PC|33000
401|LG Television|Television|LG Smart TV 32|15000
402|Samsung Television|Television|Samsung Smart TV 41|35000
501|Simens Washing Machine|Washing machine|Simens heavy load washing machine 6.5kg|25000
502|LG Washing Machine|Washing machine|LG washing machine 5.5kg|15000
